date,state_abbr,estimated_jobs
4082022,NY,2546 results
4082022,CA,5113 results
4082022,IL,2127 results
4082022,FL,2562 results
4082022,TX,3992 results
4082022,PA,1682 results
4082022,GA,1429 results
4082022,DC,406 results
4082022,MA,1548 results
4082022,AZ,1108 results
4082022,WA,1619 results
4082022,MI,1354 results
4082022,MN,935 results
4082022,CO,889 results
4082022,MD,948 results
4082022,NV,296 results
4082022,OR,490 results
4082022,MO,740 results
4082022,OH,1589 results
4082022,IN,751 results
4082022,NC,1733 results
4082022,VA,1599 results
4082022,WI,800 results
4082022,RI,110 results
4082022,UT,439 results
4082022,TN,803 results
4082022,LA,331 results
4082022,KY,420 results
4082022,OK,274 results
4082022,CT,421 results
4082022,NE,304 results
4082022,HI,104 results
4082022,NM,180 results
4082022,AL,372 results
4082022,SC,558 results
4082022,KS,255 results
4082022,IA,851 results
4082022,AR,211 results
4082022,ID,144 results
4082022,MS,230 results
4082022,PR,1 result
4082022,NJ,1263 results
4082022,AK,60 results
4082022,NH,247 results
4082022,ND,92 results
4082022,ME,171 results
4082022,SD,55 results
4082022,WV,78 results
4082022,MT,69 results
4082022,DE,205 results
4082022,VT,100 results
4082022,WY,31 results
